"","season","game_date","game_id","action_type","combined_shot_type","loc_x","loc_y","shot_distance","three_pt","time_remaining","ot","home","playoffs","opponent","shot_made_flag"
"1",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",167,72,18,"0",2787,"0","0","0","POR",NA
"2",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",-157,0,15,"0",2782,"0","0","0","POR","0"
"3",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",-101,135,16,"0",2625,"0","0","0","POR","1"
"4",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",138,175,22,"0",2572,"0","0","0","POR","0"
"5",2000,"2000-10-31","20000012","Driving Dunk Shot","Dunk",0,0,0,"0",1819,"0","0","0","POR","1"
"6",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",-145,-11,14,"0",1292,"0","0","0","POR","0"
"7",2000,"2000-10-31","20000012","Layup Shot","Layup",0,0,0,"0",1252,"0","0","0","POR","1"
"8",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",1,28,2,"0",1205,"0","0","0","POR",NA
"9",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",-65,108,12,"0",1092,"0","0","0","POR","1"
"10",2000,"2000-10-31","20000012","Running Jump Shot","Jump Shot",-33,125,12,"0",936,"0","0","0","POR","0"
"11",2000,"2000-10-31","20000012","Jump Shot","Jump Shot",-94,238,25,"1",836,"0","0","0","POR","0"
"12",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",121,127,17,"0",2820,"0","1","0","UTA","1"
"13",2000,"2000-11-01","20000019","Running Jump Shot","Jump Shot",-67,110,12,"0",2589,"0","1","0","UTA","1"
"14",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",-94,4,9,"0",2324,"0","1","0","UTA","0"
"15",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",-23,47,5,"0",2236,"0","1","0","UTA","0"
"16",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",62,192,20,"0",2208,"0","1","0","UTA","0"
"17",2000,"2000-11-01","20000019","Driving Layup Shot","Layup",0,0,0,"0",2161,"0","1","0","UTA",NA
"18",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",-117,226,25,"1",1970,"0","1","0","UTA","1"
"19",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",-132,97,16,"0",1409,"0","1","0","UTA","0"
"20",2000,"2000-11-01","20000019","Driving Layup Shot","Layup",0,0,0,"0",1366,"0","1","0","UTA",NA
"21",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",3,144,14,"0",1328,"0","1","0","UTA","0"
"22",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",134,127,18,"0",1264,"0","1","0","UTA","0"
"23",2000,"2000-11-01","20000019","Running Jump Shot","Jump Shot",-16,110,11,"0",1197,"0","1","0","UTA","1"
"24",2000,"2000-11-01","20000019","Running Jump Shot","Jump Shot",-109,150,18,"0",1067,"0","1","0","UTA","1"
"25",2000,"2000-11-01","20000019","Running Jump Shot","Jump Shot",-46,63,7,"0",1031,"0","1","0","UTA","1"
"26",2000,"2000-11-01","20000019","Layup Shot","Layup",0,0,0,"0",876,"0","1","0","UTA","0"
"27",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",-58,196,20,"0",844,"0","1","0","UTA","0"
